export_source_country_2021,"Afghanistan, Islamic Rep. of",Albania,Algeria,American Samoa,Angola,Anguilla,Antigua and Barbuda,Argentina,"Armenia, Rep. of","Aruba, Kingdom of the Netherlands",Australia,Austria,"Azerbaijan, Rep. of","Bahamas, The","Bahrain, Kingdom of",Bangladesh,Barbados,"Belarus, Rep. of",Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Central African Rep.,Chad,Chile,"China, P.R.: Mainland","China, P.R.: Hong Kong","China, P.R.: Macao",Colombia,"Comoros, Union of the","Congo, Dem. Rep. of the","Congo, Rep. of",Costa Rica,Côte d'Ivoire,"Croatia, Rep. of",Cuba,"Curaçao, Kingdom of the Netherlands",Cyprus,Czech Rep.,Denmark,Djibouti,Dominica,Dominican Rep.,Ecuador,"Egypt, Arab Rep. of",El Salvador,"Equatorial Guinea, Rep. of","Eritrea, The State of","Estonia, Rep. of","Eswatini, Kingdom of","Ethiopia, The Federal Dem. Rep. of",Falkland Islands (Malvinas),Faroe Islands,"Fiji, Rep. of",Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep. of",Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,"Kazakhstan, Rep. of",Kenya,Kiribati,"Korea, Rep. of","Kosovo, Rep. of",Kuwait,Kyrgyz Rep.,Lao People's Dem. Rep.,Latvia,Lebanon,"Lesotho, Kingdom of",Liberia,Libya,Lithuania,Luxembourg,"Madagascar, Rep. of",Malawi,Malaysia,Maldives,Mali,Malta,"Marshall Islands, Rep. of the","Mauritania, Islamic Rep. of",Mauritius,Mexico,"Micronesia, Federated States of","Moldova, Rep. of",Mongolia,Montenegro,Montserrat,Morocco,"Mozambique, Rep. of",Myanmar,Namibia,"Nauru, Rep. of",Nepal,"Netherlands, The",New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,"Korea, Dem. People's Rep. of","North Macedonia, Republic of",Norway,Oman,Pakistan,"Palau, Rep. of",Panama,Papua New Guinea,Paraguay,Peru,Philippines,"Poland, Rep. of",Portugal,Qatar,Romania,Russian Federation,Rwanda,"San Marino, Rep. of","São Tomé and Príncipe, Dem. Rep. of",Saudi Arabia,Senegal,"Serbia, Rep. of",Seychelles,Sierra Leone,Singapore,"Sint Maarten, Kingdom of the Netherlands",Slovak Rep.,"Slovenia, Rep. of",Solomon Islands,Somalia,South Africa,"South Sudan, Rep. of",Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Rep.,"Tajikistan, Rep. of","Tanzania, United Rep. of",Thailand,"Timor-Leste, Dem. Rep. of",Togo,Tonga,Trinidad and Tobago,Tunisia,"Türkiye, Rep of",Turkmenistan,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,"Uzbekistan, Rep. of",Vanuatu,"Venezuela, Rep. Bolivariana de",Vietnam,West Bank and Gaza,"Yemen, Rep. of",Zambia,Zimbabwe
"Afghanistan, Islamic Rep. of",0,0,0,0,0,7770,0,0,0,20694,1296928,1532441,37252,0,0,106016,0,63859,655157,0,0,0,0,0,0,0,1545,0,0,0,0,0,0,0,2203675,0,0,0,40770152,2976,0,12486,0,0,0,0,0,0,0,0,0,15492,25386,0,0,0,0,35784,0,0,0,0,196575,0,0,0,0,7192,390396,0,0,0,101,11310060,0,0,0,0,0,0,0,0,0,0,0,0,0,1475,0,364350627,138784,21205589,10681566,6903,0,7592432,0,1320739,1723096,4217034,0,0,9836,0,1556263,2152811,0,0,792974,0,0,0,685385,0,0,0,64912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463332,0,0,0,1911774,0,0,0,0,0,0,0,49543,41995,181463538,0,0,0,0,0,0,80669,135191,247098,297341,3127410,0,0,0,13976733,0,0,0,0,375267,0,0,0,0,253857,10212,0,1643756,4318,0,0,0,0,0,657652,0,24221,3970504,0,3858,0,0,0,0,0,43230617,27960,0,0,147569,36091052,1179965,8520900,0,3604668,0,0,990322,0,0,0,0
Albania,5899,0,4528,0,0,0,0,164469,113,0,1216502,25654803,257543,0,61931,84301,0,647643,17478435,0,18740,0,0,0,26424010,0,1561605,0,43542392,0,0,0,0,1090099,4138465,0,0,110774,90577134,3094489,0,5593,0,23313,0,0,620188,33527730,0,0,2554048,61170402,10457163,0,0,37644,0,340855,0,46105,0,12931191,256704,1152651,0,0,0,1508855,41835337,0,0,0,9279874,201567991,76830,0,214009651,0,0,0,0,361120,0,0,0,0,0,23324399,0,13411307,72888,10664,372745,789082,1957587,1557568341,0,29960146,0,216717,150410,0,2923091,376964473,393569,0,0,1563762,554465,0,0,841971,1704848,445122,0,0,1400253,0,57193,9228767,0,0,121780,870916,0,491784,0,59564568,0,730487,0,0,0,0,0,14238929,0,4010,0,0,445842,0,125360183,1862496,79122,2622,0,112436,0,0,177144,513,14889989,3371855,362601,38350406,116998,0,251099,0,3464153,12028,94686688,0,65150,2440565,0,43937831,17923142,0,0,191713,0,235783048,463408,0,0,0,213157,0,34749356,25395167,0,0,1579810,1269665,0,48182,0,0,675697,52940862,10698,0,174284,3338613,9235380,9224725,49248334,0,0,0,0,735185,0,0,0,0
Algeria,0,0,0,0,627216,0,0,59976232,0,0,0,3218,1484997,0,1145720,4124832,0,693550,950902327,0,3754389,0,0,0,0,0,1913089196,0,50885173,0,0,0,0,103065,96816754,0,0,1136734036,0,373820,0,0,0,0,459586,0,83699874,0,0,0,6850319,0,6319,0,0,0,0,395782204,0,1882600,0,0,0,0,0,0,0,2827,3669572836,0,67270,11431029,45325099,9815928,5873055,0,290407538,0,0,0,241330,19978140,0,0,0,0,0,38747,0,921397913,128614605,0,0,0,0,6925720923,0,120918,42366587,0,0,0,0,0,1793099,0,0,0,15879023,0,0,23929934,0,17645725,0,0,211617966,0,603871,36157,0,7571886,214274,0,0,0,0,0,0,232807202,0,0,0,0,0,3199532766,0,190806,0,271788,0,0,0,0,0,0,0,0,0,0,0,0,7058194,783506481,7809147,0,8366254,0,0,0,1281678,68631955,0,0,1153710,0,0,0,0,0,0,504584,0,5904836611,0,0,0,0,0,0,11018327,86695328,0,0,0,1771179,0,191243147,0,0,988926251,3040365174,0,0,0,554238,12442503,2534273981,3165946310,544,0,0,0,3052250,0,0,0,0
American Samoa,0,0,0,0,52981,0,0,0,5143,0,6567189,2044,13868,0,43080,87988,0,0,7188,0,0,52,0,0,1969,0,14320,6060,0,0,0,0,0,822,534441,104681,0,0,0,103546,0,35196,0,0,95713,25969,18372,0,1820,0,7807,0,5623,0,0,2478,599356,0,43,0,0,334,0,0,0,35659,1773,5749,233169,153,0,5388,0,16532,0,0,23,0,0,0,0,33079,0,0,0,0,14,760,4516,28500,43577769,0,0,6087382,0,0,0,35086,0,0,8656020,0,1296227,0,0,0,0,2101,1491,0,0,0,80,1022,0,0,77851,0,40755,0,0,28860,0,0,0,25762,0,0,0,48,791662,22799,0,0,38397,21416,0,28882,116,7590,0,0,0,6384,0,28990,0,0,0,0,809,396076,21706,122343,0,327,0,276,0,0,18592,0,188,0,0,180628,0,370,508,0,0,11471,0,14645,69849,0,0,1144,0,0,12599,0,0,61335,378480,31,1521,0,77976,3044,28008,19518,0,0,0,123,161568,21040,0,768,85,508,0,0,0,2365,60712,0
Angola,0,0,1728,0,0,0,20500,318,63,0,54883711,1118,28434,17008,43824,41824680,0,185,199712947,0,352822,0,0,74400,0,7781,166289977,9157,3000,1784,0,38990,4704,9439267,425382552,0,6454,518157205,20457447736,332756,98,36534,0,262281268,44877181,4637,16396052,504,2047640,468,81419,10077581,424140,8856,0,15392724,41410,388413,0,295936,72,0,0,95196,0,0,0,1498,242534122,0,352247,38838,0,2680763,5837386,75871306,100377472,0,0,0,0,1262291,132,0,0,0,0,4020,75855,3059805954,437786618,0,0,1356302,90278106,639378454,0,90440896,0,17113,29542,0,93030274,0,44225132,0,0,0,181353,2069,54209,0,0,27617,18042,921,122861812,0,46126,30907,5299,88705,317,169768,0,0,0,0,0,11636844,937481,0,19246411,0,0,469447006,0,355640,8496,0,638830,0,0,1875076,23710,286338446,0,52846,11893,0,26892,66812,476816,80280084,247574,43611,425378,13777,0,2621595,392522,9168569,5004,138,24923,750093627,0,0,0,0,0,512143496,0,713659471,0,0,0,1332,25418,0,187063,131927,2201,0,527172,1004971728,0,37582427,0,152421,5166,5803909,0,0,122,13847,1410405131,27363216,467975600,334142447,0,685,214875,29130205,0,0,35500,393
Anguilla,0,322,0,0,1,0,155164,82076,854803,0,25360,15830,9622,26013,204,0,11205,0,1980,0,0,262,0,0,0,0,587585,0,0,146892,0,0,0,391,201945,0,0,21981897,852,0,0,3924,0,0,0,0,348,0,0,0,126,0,22,0,0,802268,0,0,553,0,0,192,0,0,0,294,278419,0,174575,0,0,0,0,0,0,0,135,0,207190,0,0,0,0,4389744,0,0,1804,124,0,95623,123369,0,0,3482,106056,3912,0,46007,0,0,12,0,22000,0,322,2694,0,1403,2080,0,0,0,0,56,0,0,1366,0,3789,0,0,0,0,25,0,63,564,0,0,0,3605,0,0,0,0,111675,864,25111,0,0,193475,0,0,0,0,11077,586530,0,0,0,0,42947,641,124,0,171,0,3132,0,0,57,0,0,0,0,39407,0,123,78,0,0,7322,0,38559,108,1277667,0,19697,0,0,2380,49776,0,332013,0,0,0,0,0,18792,0,263,0,0,0,6309,122520,182177,2603894,0,0,3779,0,0,0,0,0,0
Antigua and Barbuda,0,5704,0,400,0,154482,0,0,1096,783,676,0,0,15410,12696,0,1629158,12264,12,24,8790,9909,0,376,1119,0,572,0,0,1668,0,0,0,1361,194269,0,0,668,686426,975096,0,0,0,0,0,1040,14148,501,0,2773,0,76903,9480,0,670609,31799,0,0,0,0,0,1572,43,132792,0,1215,0,0,18190174,0,0,3236604,0,38135,0,66172,0,411,118563,0,82600,87198,0,995,154,0,4709,0,0,10863,47,0,0,66226,0,897,40654,0,0,0,0,0,0,53101,0,0,0,0,131940,0,0,0,1649,0,233,0,648,76280,351631,371,0,0,0,40,0,0,0,0,255619,1691,0,0,0,0,5325,1191762,2616,0,0,0,6030,0,0,34,0,15248,0,42336,0,0,0,2205,26047469,280634,0,20099,0,120,0,558,494,0,0,0,0,0,986011,46,286,0,0,0,0,268836,0,641957,638883,219460,0,0,0,109484,0,325944,5520,91811,0,0,0,60276,37020,0,0,0,0,9936,19728408,123687,10035690,0,12302,678,0,0,0,0,0,0
Argentina,0,6114000,1467378000,0,95057000,521000,236000,0,11000,1228000,620718000,7663000,2122000,1027000,2912000,875660000,646000,143797000,419761000,1117000,3402000,0,0,564230000,10499000,0,11761550000,0,27362000,0,0,2842000,5125000,37606000,704966000,0,0,4176338000,6154214000,139301000,0,1129703000,84000,7603000,32724000,92094000,118246000,42803000,329024919,7368000,47286000,19352000,183417000,557000,0,328132000,504207000,1535628000,56636000,4510000,0,1431000,0,0,0,0,0,7888000,431620000,0,6629000,9841000,16398000,806771000,90226000,0,238361000,0,229000,0,231660000,16716000,0,4811000,10661000,0,62227000,8395000,2918000,4293273000,1862981000,1201554000,407037000,437594000,366234000,974031000,8136000,721944000,304789000,6779000,148305000,0,1720165000,0,30090000,0,0,175876000,90204000,0,2823000,128876000,42876000,0,10227000,0,1426079000,450000,12389000,2468000,0,25904000,65956000,695255000,0,3106000,1643000,845000,0,679274000,230515000,31610000,822000,0,10877000,2984087000,0,183232000,69472000,3506000,173588000,0,7629000,20391000,89018000,131280000,0,156570000,0,1292410000,1995217000,348334000,778315000,140194000,22831000,146579000,679976000,0,0,0,850205000,158577000,9222000,86000,2313000,81404000,779000,14088000,42572000,0,0,452813000,0,1846777000,3347000,67000,308000,0,774000,3084000,24768000,954546000,50929000,0,27605000,432051000,0,28739000,0,18944000,164347000,557298000,0,0,57304000,41206000,773538000,759983000,4914141000,1366530000,0,0,175158000,3220919000,1194000,274613000,0,0
"Armenia, Rep. of",945785,471,9110,0,0,0,0,28811,0,0,1283392,2002603,0,0,75,620,0,28318666,51917637,92592,0,0,0,0,0,0,35948,0,198441360,0,0,0,24,0,5582801,0,0,39656,393183138,9925728,0,200,0,0,0,0,0,173617,0,0,284603,2485929,823685,0,0,10200,0,20455,0,0,0,1087178,0,0,0,0,0,104214,10675990,0,0,0,68309192,77577690,17610,0,96984,0,0,0,0,0,0,0,0,0,0,632496,4129,126697364,799929,65519182,177313569,277745,9932862,63509001,200,1683597,784742,11012379,53191,0,5142656,0,6264713,2622797,0,4221302,1763283,0,0,160000,5058635,907230,0,0,15482,0,0,68602,0,0,0,470253,0,3248212,366344,0,0,33280,0,2723,722,0,0,191248234,0,14328,0,0,30448,0,0,6734,166327,12236,0,0,0,2679,0,6755,20342708,503104,1841752,159413,840679571,0,0,0,1845892,0,117947,75942,0,1115831,0,14302068,1525380,0,0,181274,0,7268868,100,0,0,0,453553,2938623,388491,359492722,10922504,999337,0,57267,0,0,0,0,1000,442755,8140013,0,87,25662676,74394078,7645744,81799007,27371,3007855,0,0,1226436,0,164433,0,29842
"Aruba, Kingdom of the Netherlands",0,0,61,0,0,0,662,140,0,0,24383,49420,0,30234,0,0,16713,0,19416,0,0,11986,0,60,0,0,54354,0,30,0,0,0,0,0,32557,0,0,555188,3455,303409,0,43596525,0,0,0,651,0,0,4717,6557081,0,0,21,0,100,248884,115434,0,0,0,0,0,0,0,0,0,0,22780,131783,0,0,0,0,94531,0,0,158,0,126161,0,1,0,0,578,46888,0,3273,192,0,433858,8,0,0,5,633275,166679,38221,45,0,0,0,0,198987,0,3200,0,0,0,675,0,0,0,0,7996,0,0,41899,0,0,0,0,0,0,26588,0,0,0,0,0,0,0,0,0,0,0,4852433,0,0,0,0,0,0,0,100,0,76762,0,1834705,0,2,16,0,120,0,1507,1,0,0,0,0,0,0,0,68,0,92228,1287866,0,0,0,0,0,0,53585,0,213,15373,1059,0,743836,26037,186487,0,0,0,153416,0,0,0,39983,0,0,0,0,0,0,2,114777,20297982,957291,0,0,1158743,5,0,0,0,0
