Row Labels,Australia,Belgium,Brazil,Canada,Hong Kong,China,France,Germany,India,Italy,Japan,Korea,Malaysia,Mexico,Netherlands,Others,Poland,Russia,Saudi Arabia,Singapore,Spain,Switzerland,United Kingdom,United States,Vietnam
Australia,0,2926302900,560552425,1845374199,4728429224,66481139213,3563845682,11774272435,6900450716,5096469479,15240938144,9750477000,8480538302,1053954000,4107336561,40743221075,1172086631,236370352,687388257,13038496727,1927368102,2414771427,6116985665,26433487587,4528964968
Belgium,975238343,0,3372591307,2300041571,2203314905,30400674965,44763394847,60800196464,9049677792,21350485905,7188283536,4437677000,1544970703,1564315000,94897241662,93713040114,8432734753,8671157789,4830862458,5403188892,17550274713,5078297249,22034805545,33653582148,3616969974
Brazil,1241895490,4382528955,0,1808729419,2510504479,53632251368,4053206092,12425563307,6261890013,5406940606,4184808216,4666441000,1036494007,3656356000,3626689566,50181083340,649821406,5264496298,3158750992,1612323027,3066661225,2367563793,2735946437,46882052227,2270707274
Canada,1502708845,5009459078,4919289636,0,2417696683,51568165676,4061564775,11895977928,3556063552,5708146217,8373720815,6714456000,1532585893,13060705000,4419754741,33022812298,1476908423,737762741,1861330656,752404478,2398649203,4171392346,7635805686,3.07483E+11,5292158917
Hong Kong,6786133420,1621431390,2035882844,2832884039,0,3.5164E+11,5973646380,6583350653,11293765551,5686703618,35412516839,37467077000,18481512605,852307000,2347463716,49834188799,392653132,1617145689,337543584,60147380581,948675125,10195307511,10626797937,29958053382,11990430431
China,1.29773E+11,9456136370,88436327345,23001694693,4.0186E+11,0,28435713994,1.23715E+11,23044275267,18513229861,1.63599E+11,1.62913E+11,46307113761,9254996000,18813504746,4.63351E+11,3622757854,68422666053,51272171498,67746764409,10259643213,32947547020,23545664223,1.51065E+11,56200560938
France,1415588325,78898095041,2524895718,3300362071,4797098411,46474440428,0,1.21548E+11,6131421219,63235553366,6676718719,4654283000,1399269316,1380687000,75045769258,1.46513E+11,19456708491,9907496184,3690765185,3869643921,60656972286,18992978420,26630624574,30681320863,3211520403
Germany,2673793191,1.02599E+11,5038641387,5452106898,9527059490,1.15267E+11,83482755616,0,9512570172,79784944976,20749657285,11109891000,6871921980,7541130000,2.06414E+11,4.38101E+11,97951931243,29650332973,524456276,7105736358,39338308986,55126246700,40867592445,65174169473,7294797728
India,14139038735,7261707175,4735266213,2238418599,17536276584,97588360882,9726839774,14726501043,0,4577852732,12853623690,15603256000,10890751612,4268528000,2998742798,1.82254E+11,1116937886,9128900981,27018108295,12624314704,1764091326,31364438522,6316835061,40130084419,6275493196
Italy,731645253,26408737672,3890473366,2078291590,3654116533,43647651843,46699228403,89298612987,7703451231,0,5004542411,4597181000,1722337810,1015690000,38052209771,1.85027E+11,15803990282,19326976476,5014784127,881742047,32418630167,20224107741,12523003631,21713320814,3882382956
Japan,46642019042,8951223295,5558438200,11400051226,15344469207,1.65902E+11,7760208149,21897496975,6073294848,8930198633,0,30061806000,18166887080,4182314000,5106207566,1.46402E+11,867445909,10759600486,27312501903,18355090673,3467673761,8488604339,8144768260,74970192296,20107569217
Korea,26244345587,3417757769,5622774255,4438094036,10125412041,1.50554E+11,5671590941,22788036939,7094588444,6233749022,52507113965,0,9082971180,6914942000,10336490545,77772466856,916394392,16899590330,23052693206,19700438730,2282326726,3636005634,7067737808,65771800593,21964988327
Malaysia,6275915940,1175343179,4644936161,814334485,5145406320,78918314128,894578598,6119061567,6698817865,1325166676,15605817176,10107328000,0,270704000,1248025198,40438500134,244417944,1429760843,2473676137,42130406272,468470613,1473778651,2203983791,15171488038,4399641423
Mexico,269281520,1913324169,5540577333,6485292447,5370556268,67461013635,3954142031,15633677876,4157402093,4554095647,10831603925,11290247000,2793771793,0,3194942340,24373889357,1876364874,3403154392,68388806,1626532256,4859550301,1530643390,1547630137,2.76459E+11,4594755805
Netherlands,2660887043,67294294490,9308161418,3788756417,10238346307,1.02482E+11,23675447521,1.19429E+11,10262838920,18018529275,12588359243,5810858000,7515677306,2343125000,0,1.53486E+11,14788143916,42161121739,5272077110,9735560381,14531497550,7402339433,35627938488,53580185315,7673722548
Others,41338180247,1.12684E+11,78686575618,26422279071,66278182022,8.32654E+11,1.31202E+11,4.91017E+11,1.54363E+11,1.69825E+11,1.23077E+11,1.03962E+11,59356882511,24989248000,1.76089E+11,1.3564E+12,1.19913E+11,1.90963E+11,84062786428,1.04785E+11,1.15782E+11,62363831321,1.1121E+11,3.04728E+11,47924541791
Poland,330357909,14105168261,901986978,647781208,2275992741,36678641768,14428314812,92908067527,2518355661,19458464024,3354770279,6595820000,744342110,363767000,25417201150,94496022744,0,16727561380,2742317631,440218165,9175137340,3277389344,5712998687,5907584517,2068150645
Russia,616924355,5151253934,1592086101,525834429,4980125137,67595805013,7596463837,31636649234,3331566582,9063753301,7843391120,9979540000,931280003,499052000,9370492938,80282894585,9451130894,0,80672499,488001420,2616059816,3683698811,4010570811,6388256323,3207616314
Saudi Arabia,1411336617,2448598043,2104732331,1742668863,1289509488,30399277016,3996661449,6544283834,8233414757,3943194918,4457282894,3324693000,1218533201,264513000,3533882261,36563051543,922888290,1919927196,0,950834786,2259073044,2490773873,4160853555,11138042450,371631861
Singapore,13582462239,1825870237,5728232512,967487441,10603511064,55039576301,8613612566,8497015758,10657151173,2603857722,20030704640,14148514000,41825862174,836987000,4116586271,68236363261,297217065,1670168236,7115595028,0,738286151,8086603382,7226121538,35762643466,4041940110
Spain,524591581,16219835001,5430470844,1808669708,2025980934,36166334201,43946876197,51960075599,4391827436,31009989041,2420107402,2846423000,1134348355,4912640000,28383953068,1.20989E+11,8569290104,3844382884,3030805037,423878073,0,13786548948,10995311366,16061988700,2556628480
Switzerland,1451294486,6395527150,2030411315,2367413430,6202937821,6233803180,20144923686,72327757181,1288734804,32260309051,4411254329,855445000,472046764,1585306000,11571323775,77072839821,3532686409,2822777262,769182067,3427183051,6835752578,0,25472906389,24016808948,240602555
United Kingdom,3516546160,30963248335,3079868301,12904079033,10052299327,87126462937,33610715344,78514082941,10375404514,27688320982,10358805478,5963580000,2362534145,3033023000,46969585473,1.74853E+11,17020975674,22279414334,2132719182,3705478125,22067527325,14106783385,0,61463009663,5737571019
United States,12226743768,32645574218,31479394775,3.80011E+11,40193085332,5.77636E+11,41515372391,1.44898E+11,71444322635,58290241843,1.35775E+11,96306805000,34347826417,3.98989E+11,34975329703,4.05969E+11,9012450739,17825671285,14549154496,39316822003,17495320411,62901295101,63181538770,0,96390158786
Vietnam,8143011349,1029262404,2632556358,524765276,13402153378,1.37954E+11,1469719259,4435586161,6637328114,1400168120,19069802093,56728532000,10978020309,165022000,1172112684,34488034503,502148832,2240698212,754372780,15670802008,546883931,529055267,851515910,10947235660,0
