to_country_remittances,from_country_remittances,2017_USDM_remittances
Mexico,United States of America,52595.34255
India,United Arab Emirates,19821.0514
India,United States of America,15808.03116
Guatemala,United States of America,14078.18904
India,Saudi Arabia,13052.3467
Philippines,United States of America,12836.64335
China,United States of America,12690.78694
China,"China, Hong Kong SAR",11930.6896
Ukraine,Russian Federation,9588.176821
Uzbekistan,Russian Federation,9197.526465
Egypt,Saudi Arabia,8141.252502
Egypt,United Arab Emirates,8094.14175
Pakistan,Saudi Arabia,8045.081779
Dominican Republic,United States of America,7951.994167
Viet Nam,United States of America,7894.706912
El Salvador,United States of America,6710.635008
India,Oman,6413.218653
India,Kuwait,6356.267056
Pakistan,United Arab Emirates,5988.229265
Honduras,United States of America,5933.10899
Bangladesh,India,5746.827282
Nigeria,United States of America,5710.916521
India,United Kingdom,4457.918851
Belgium,France,4441.284896
India,Qatar,4431.656382
Bangladesh,Saudi Arabia,4127.76052
India,Australia,3907.611281
Bangladesh,United Arab Emirates,3881.491616
India,Canada,3833.726681
China,Republic of Korea,3760.030748
Republic of Korea,United States of America,3722.500723
Egypt,Kuwait,3699.779701
Philippines,Saudi Arabia,3670.151891
Philippines,Canada,3668.475995
China,Japan,3603.942785
Indonesia,Saudi Arabia,3530.192031
Philippines,United Arab Emirates,3469.062299
Morocco,France,3416.47713
China,Australia,3369.0396
China,Canada,3310.476863
Poland,Germany,3173.709542
France,Spain,3089.630916
Germany,United States of America,3013.599803
Israel,United States of America,3005.419446
Pakistan,United Kingdom,2941.891052
Russian Federation,Ukraine,2939.609975
France,Belgium,2812.057814
Nigeria,United Kingdom,2764.877191
France,United States of America,2723.634384
Jamaica,United States of America,2709.906379
France,Switzerland,2699.913243
Czechia,Germany,2608.818703
Colombia,United States of America,2544.240828
Pakistan,United States of America,2500.458026
Morocco,Spain,2494.527043
France,United Kingdom,2464.502592
Indonesia,Malaysia,2372.29705
Japan,United States of America,2327.740528
Tajikistan,Russian Federation,2306.758117
China,Singapore,2251.022873
Russian Federation,Kazakhstan,2185.359336
Thailand,United States of America,2184.675331
France,Germany,2081.191993
Italy,Germany,2069.888144
Haiti,United States of America,2065.031026
Croatia,Germany,2057.969543
Kyrgyzstan,Russian Federation,2017.523691
Romania,Spain,2005.195565
Germany,Switzerland,1990.911871
Pakistan,Kuwait,1959.67281
Romania,Italy,1899.758142
State of Palestine,Jordan,1868.266392
United States of America,Mexico,1844.683777
